# name	type	tags	description_or_title	npm_deps	payload_file
comp-112	component	button	button — variant 112		vendor/origin/r/comp-112.json
comp-113	component	button,dropdown	button/dropdown — variant 113		vendor/origin/r/comp-113.json
comp-114	component	button,dropdown,counter	button/dropdown/counter — variant 114		vendor/origin/r/comp-114.json
comp-115	component	button,previous	button/previous — variant 115		vendor/origin/r/comp-115.json
comp-116	component	button,next	button/next — variant 116		vendor/origin/r/comp-116.json
comp-117	component	button,like,counter	button/like/counter — variant 117		vendor/origin/r/comp-117.json
comp-118	component	button,like,counter	button/like/counter — variant 118		vendor/origin/r/comp-118.json
comp-119	component	button,social,login,authentication	button/social/login — variant 119	@remixicon/react	vendor/origin/r/comp-119.json
comp-120	component	button,social,login,authentication	button/social/login — variant 120	@remixicon/react	vendor/origin/r/comp-120.json
comp-121	component	button,social,login,authentication	button/social/login — variant 121	@remixicon/react	vendor/origin/r/comp-121.json
comp-122	component	button,social,login,authentication	button/social/login — variant 122	@remixicon/react	vendor/origin/r/comp-122.json
comp-123	component	button,collapsible	button/collapsible — variant 123		vendor/origin/r/comp-123.json
comp-124	component	button,back	button/back — variant 124		vendor/origin/r/comp-124.json
comp-125	component	button,upload,user,avatar,profile,image	button/upload/user — variant 125		vendor/origin/r/comp-125.json
comp-126	component	button,upload,user,avatar,profile,image	button/upload/user — variant 126		vendor/origin/r/comp-126.json
comp-127	component	button	button — variant 127		vendor/origin/r/comp-127.json
comp-128	component	button	button — variant 128		vendor/origin/r/comp-128.json
comp-129	component	button,dropdown,notification	button/dropdown/notification — variant 129		vendor/origin/r/comp-129.json
comp-130	component	button,toggle,darkmode	button/toggle/darkmode — variant 130		vendor/origin/r/comp-130.json
comp-131	component	button,dropdown	button/dropdown — variant 131		vendor/origin/r/comp-131.json
comp-132	component	checkbox,label,radix	checkbox/label/radix — variant 132		vendor/origin/r/comp-132.json
comp-133	component	checkbox,label,radix	checkbox/label/radix — variant 133		vendor/origin/r/comp-133.json
comp-134	component	checkbox,label,radix	checkbox/label/radix — variant 134		vendor/origin/r/comp-134.json
comp-135	component	checkbox,label,disabled,radix	checkbox/label/disabled — variant 135		vendor/origin/r/comp-135.json
comp-136	component	checkbox,label,radix	checkbox/label/radix — variant 136		vendor/origin/r/comp-136.json
