# scale	step	light_hex	dark_hex	semantic_role	gray_pairing	step9_foreground
violet	1	#fdfcfe	#14121f	app-bg	mauve	white
violet	2	#faf8ff	#1b1525	app-bg	mauve	white
violet	3	#f4f0fe	#291f43	component-state	mauve	white
violet	4	#ebe4ff	#33255b	component-state	mauve	white
violet	5	#e1d9ff	#3c2e69	component-state	mauve	white
violet	6	#d4cafe	#473876	border	mauve	white
violet	7	#c2b5f5	#56468b	border	mauve	white
violet	8	#aa99ec	#6958ad	border	mauve	white
violet	9	#6e56cf	#6e56cf	solid-accent	mauve	white
violet	10	#654dc4	#7d66d9	solid-accent	mauve	white
violet	11	#6550b9	#baa7ff	text	mauve	white
violet	12	#2f265f	#e2ddfe	text	mauve	white
yellow	1	#fdfdf9	#14120b	app-bg	sand	dark
yellow	2	#fefce9	#1b180f	app-bg	sand	dark
yellow	3	#fffab8	#2d2305	component-state	sand	dark
yellow	4	#fff394	#362b00	component-state	sand	dark
yellow	5	#ffe770	#433500	component-state	sand	dark
yellow	6	#f3d768	#524202	border	sand	dark
yellow	7	#e4c767	#665417	border	sand	dark
yellow	8	#d5ae39	#836a21	border	sand	dark
yellow	9	#ffe629	#ffe629	solid-accent	sand	dark
yellow	10	#ffdc00	#ffff57	solid-accent	sand	dark
yellow	11	#9e6c00	#f5e147	text	sand	dark
yellow	12	#473b1f	#f6eeb4	text	sand	dark
